,precision,recall,f1-score,support
Apple__Apple_scab,0.9920477137176938,0.9900793650793651,0.9910625620655412,504.0
Apple__Black_rot,0.9900398406374502,1.0,0.994994994994995,497.0
Apple__Cedar_apple_rust,1.0,0.9931818181818182,0.9965792474344356,440.0
Apple__healthy,0.9920477137176938,0.9940239043824701,0.9930348258706467,502.0
Banana__Healthy_Leaf,0.9969325153374233,0.9789156626506024,0.9878419452887538,332.0
Banana__Panama_Disease,0.625,1.0,0.7692307692307693,80.0
Banana__Sigatoka_Disease,0.9972144846796658,0.9017632241813602,0.9470899470899471,397.0
Cherry_(including_sour)__Powdery_mildew,0.9858490566037735,0.9928741092636579,0.9893491124260355,421.0
Cherry_(including_sour)__healthy,0.9891540130151844,1.0,0.9945474372955289,456.0
Coffee__NoRust,0.9117647058823529,0.458128078817734,0.6098360655737705,406.0
Coffee__Rust,0.846100278551532,0.989413680781759,0.9121621621621622,1228.0
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,0.9671717171717171,0.9341463414634147,0.9503722084367245,410.0
Corn_(maize)__Common_rust_,0.997907949790795,1.0,0.9989528795811519,477.0
Corn_(maize)__Northern_Leaf_Blight,0.9469387755102041,0.9727463312368972,0.9596690796277145,477.0
Corn_(maize)__healthy,1.0,0.9978494623655914,0.9989235737351991,465.0
Grape__Black_rot,0.991578947368421,0.9978813559322034,0.9947201689545935,472.0
Grape__Esca_(Black_Measles),0.9979035639412998,0.9916666666666667,0.9947753396029259,480.0
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,430.0
Grape__healthy,1.0,1.0,1.0,423.0
Mango__Anthracnose,0.9909819639278558,0.9023722627737226,0.944603629417383,1096.0
Mango__Healthy,0.958273381294964,0.9487179487179487,0.9534717251252685,702.0
Mango__Powdery_Mildew,1.0,0.9577039274924471,0.9783950617283951,331.0
Orange__Haunglongbing_(Citrus_greening),1.0,1.0,1.0,503.0
Peach__Bacterial_spot,0.9978118161925602,0.9934640522875817,0.9956331877729258,459.0
Peach__healthy,0.9410480349344978,0.9976851851851852,0.9685393258426966,432.0
Potato__Early_blight,0.9979338842975206,0.9958762886597938,0.9969040247678018,485.0
Potato__Late_blight,0.9937106918238994,0.977319587628866,0.9854469854469855,485.0
Potato__healthy,0.9934354485776805,0.9956140350877193,0.9945235487404163,456.0
Strawberry__Leaf_scorch,1.0,0.9954954954954955,0.9977426636568849,444.0
Strawberry__healthy,1.0,1.0,1.0,456.0
Sugarcane__Mosaic,0.8412698412698413,0.803030303030303,0.8217054263565892,66.0
Sugarcane__RedRot,0.9212121212121213,0.9934640522875817,0.9559748427672956,153.0
Sugarcane__RedRust,0.7948717948717948,1.0,0.8857142857142857,31.0
Sugarcane__Yellow_Rust,0.9649122807017544,0.8527131782945736,0.9053497942386831,129.0
Sugarcane__healthy,0.8602150537634409,0.851063829787234,0.8556149732620321,94.0
Tomato__Bacterial_spot,0.9789227166276346,0.9835294117647059,0.9812206572769953,425.0
Tomato__Early_blight,0.977728285077951,0.9145833333333333,0.9451022604951561,480.0
Tomato__Late_blight,0.9635193133047211,0.9697624190064795,0.9666307857911733,463.0
Tomato__Leaf_Mold,0.9704641350210971,0.9787234042553191,0.9745762711864406,470.0
Tomato__Septoria_leaf_spot,0.9828850855745721,0.9220183486238532,0.9514792899408284,436.0
Tomato__Spider_mites Two-spotted_spider_mite,0.9818181818181818,0.8689655172413793,0.9219512195121952,435.0
Tomato__Target_Spot,0.8245283018867925,0.9562363238512035,0.8855116514690983,457.0
Tomato__Tomato_Yellow_Leaf_Curl_Virus,0.9979423868312757,0.9897959183673469,0.9938524590163934,490.0
Tomato__Tomato_mosaic_virus,0.9889135254988913,0.9955357142857143,0.9922135706340378,448.0
Tomato__healthy,0.8,0.9977924944812362,0.888015717092338,453.0
accuracy,0.9618224110032363,0.9618224110032363,0.9618224110032363,0.9618224110032363
macro avg,0.9544455448985391,0.9563140673987236,0.9516292372582931,19776.0
weighted avg,0.9652434560902936,0.9618224110032363,0.9607239364552704,19776.0
